,A_C,A_T,A_G,C_A,C_T,C_G,G_A,G_C,G_T,T_A,T_C,T_G,ALL
SRR16569850,0,0,0,2,15,0,4,0,7,0,3,1,32
SRR16569731,1,0,1,2,13,0,5,1,8,0,2,1,34
SRR16569783,2,0,2,2,13,0,6,1,15,0,6,1,48
SRR16569828,0,0,0,2,15,0,6,0,9,0,3,1,36
SRR16569733,0,4,0,3,18,0,3,3,4,1,2,2,40
SRR16569776,0,0,0,3,11,0,5,0,6,0,3,1,29
SRR16569729,0,0,0,2,16,0,3,0,8,0,2,1,32
SRR16569852,0,2,0,1,14,0,4,0,7,0,5,1,34
SRR16569825,1,0,1,2,13,0,5,0,7,0,4,1,34
SRR16569821,0,3,0,3,19,0,3,3,4,1,2,2,40
SRR16569858,2,2,2,1,14,0,5,2,4,2,2,1,37
SRR16569801,0,0,0,2,18,0,4,0,6,0,4,2,36
SRR16569848,0,0,0,1,15,0,4,0,8,0,3,1,32
SRR16569792,0,0,0,2,14,0,4,0,10,0,2,1,33
SRR16569796,0,0,0,1,18,0,3,1,2,0,5,1,31
SRR16569763,0,2,0,2,12,0,3,0,5,0,4,2,30
SRR16569737,0,0,0,2,14,0,3,0,8,0,3,1,31
SRR16569746,1,0,1,5,11,0,6,0,7,1,3,1,36
SRR16569806,2,2,2,1,15,0,5,2,6,1,2,1,39
SRR16569805,1,0,1,0,12,0,3,0,3,0,1,2,23
SRR16569812,0,0,0,2,13,0,5,0,6,0,4,1,31
SRR16569846,1,0,1,0,17,0,3,0,1,1,1,1,26
SRR16569862,0,2,0,2,11,0,3,0,5,0,4,2,29
SRR16569765,0,0,0,2,16,0,3,0,9,0,2,1,33
SRR16569757,0,0,0,2,16,0,3,0,9,0,3,2,35
SRR16569784,0,3,0,3,15,0,3,4,4,1,3,2,38
SRR16569730,1,0,1,2,15,0,3,1,7,0,2,1,33
SRR16569826,0,0,0,2,15,0,3,0,8,0,2,1,31
SRR16569791,1,0,1,2,13,0,3,1,8,0,2,1,32
SRR16569810,0,3,0,3,17,0,3,3,2,1,5,2,39
SRR16569759,0,0,0,2,16,0,4,0,7,0,3,1,33
SRR16569744,0,2,0,3,18,0,3,3,2,1,2,2,36
SRR16569837,0,0,0,2,17,0,3,0,8,0,4,2,36
SRR16569788,0,0,0,3,12,0,5,0,7,0,3,1,31
SRR16569809,1,0,1,2,11,0,5,1,8,0,3,1,33
SRR16569797,0,7,0,4,28,0,4,4,4,1,3,1,56
SRR16569807,0,0,0,1,14,0,3,1,3,1,3,2,28
SRR16569773,1,0,1,2,15,0,3,1,7,0,2,1,33
SRR16569859,1,0,1,2,12,0,4,1,8,0,3,1,33
SRR16569743,1,1,1,3,22,0,6,3,19,1,5,2,64
SRR16569779,0,2,0,3,16,0,5,3,2,1,2,2,36
SRR16569780,0,0,0,2,14,0,4,0,10,0,2,1,33
SRR16569736,0,0,0,2,13,0,4,0,8,0,2,2,31
SRR16569827,2,0,2,1,17,0,3,0,7,0,4,1,37
SRR16569735,0,0,0,2,15,0,3,0,8,0,2,1,31
SRR16569836,0,0,0,3,11,0,4,0,4,0,4,1,27
SRR16569861,0,0,0,2,14,0,4,0,9,0,2,1,32
SRR16569799,0,0,0,3,13,0,4,0,5,0,3,1,29
SRR16569802,1,0,1,1,12,0,0,1,3,1,3,0,23
SRR16569778,0,1,0,2,18,0,4,0,7,0,5,2,39
SRR16569782,1,0,1,2,12,0,4,1,8,0,2,1,32
SRR16569824,0,0,0,2,15,0,5,1,8,0,3,1,35
SRR16569814,0,0,0,2,16,0,3,0,7,0,2,2,32
SRR16569847,0,3,0,3,15,0,5,3,3,1,2,2,37
SRR16569728,0,0,0,2,15,0,3,0,8,0,2,1,31
SRR16569795,0,2,0,3,15,0,4,4,1,1,3,2,35
SRR16569811,0,0,0,1,15,0,3,0,8,0,3,2,32
SRR16569835,0,0,0,1,13,0,4,0,8,0,4,1,31
SRR16569815,0,0,0,1,18,0,5,0,9,0,2,1,36
SRR16569849,0,0,0,1,16,0,4,0,7,0,3,1,32
SRR16569860,1,0,1,2,15,0,3,1,8,0,2,1,34
SRR16569766,0,0,0,1,15,0,3,1,5,0,2,2,29
SRR16569770,0,0,0,3,13,0,4,0,8,0,4,1,33
SRR16569758,0,0,0,1,17,0,3,0,8,0,2,2,33
SRR16569856,0,0,0,2,18,0,3,0,8,0,2,3,36
SRR16569790,0,1,0,3,16,0,5,3,2,1,2,2,35
SRR16569804,1,0,1,0,13,0,2,0,4,0,2,2,25
SRR16569834,0,0,0,1,15,0,3,1,3,0,3,2,28
SRR16569841,0,0,0,1,18,0,3,0,8,0,3,1,34
SRR16569813,0,0,0,1,16,0,3,1,8,1,2,1,33
SRR16569772,1,0,1,2,12,0,4,2,9,0,2,1,34
SRR16569761,0,4,0,2,20,0,6,0,2,0,3,0,37
SRR16569842,0,1,0,2,15,0,3,0,7,0,4,1,33
SRR16569854,1,0,1,1,14,0,3,1,7,0,2,1,31
SRR16569734,0,0,0,2,15,0,4,0,9,0,3,1,34
SRR16569830,0,0,0,1,16,0,3,0,7,0,4,2,33
SRR16569751,0,1,0,2,13,0,3,1,6,0,4,1,31
SRR16569752,2,2,2,1,14,0,5,2,6,2,2,1,39
SRR16569741,1,0,1,3,11,0,4,0,5,0,3,1,29
SRR16569748,0,4,0,4,18,0,8,0,5,0,1,0,40
SRR16569840,1,1,1,2,16,0,3,1,7,0,4,1,37
SRR16569771,1,0,1,2,14,0,3,0,10,1,2,2,36
SRR16569816,0,1,0,2,15,0,3,0,7,0,4,1,33
SRR16569863,0,0,0,2,17,0,4,0,8,0,4,1,36
SRR16569853,0,0,0,1,13,0,3,0,8,0,2,1,28
SRR16569793,0,4,0,3,14,0,3,4,2,1,3,2,36
SRR16569768,1,0,1,2,15,0,3,1,7,0,2,1,33
SRR16569739,3,0,3,3,12,0,4,0,7,1,5,2,40
SRR16569794,0,4,0,3,19,0,3,0,4,0,3,1,37
SRR16569777,0,1,0,2,15,0,3,1,6,1,4,2,35
SRR16569749,1,0,1,2,15,0,3,1,7,0,2,1,33
SRR16569747,1,6,1,2,25,0,8,0,11,1,5,0,60
